Comic Title,Publication Year,Cover URL
Ultimate Comics Ultimates (2011) #15,2012,http://i.annihil.us/u/prod/marvel/i/mg/4/60/5a9f064b97875.jpg
Avengers (2010) #30,2012,http://i.annihil.us/u/prod/marvel/i/mg/4/60/51685f6919ae7.jpg
Avengers Assemble (2012) #7,2012,http://i.annihil.us/u/prod/marvel/i/mg/d/40/58d4366f8cede.jpg
Journey Into Mystery (2011) #643,2012,http://i.annihil.us/u/prod/marvel/i/mg/1/10/5189565c217d8.jpg
Journey Into Mystery (2011) #642,2012,http://i.annihil.us/u/prod/marvel/i/mg/f/40/5a82000c26107.jpg
Ultimate Comics Ultimates (2011) #14,2012,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/5a9ef2614b098.jpg
Avengers Assemble (2012) #6,2012,http://i.annihil.us/u/prod/marvel/i/mg/c/40/58d4306ce1efa.jpg
The Mighty Thor (2011) #18,2012,http://i.annihil.us/u/prod/marvel/i/mg/3/80/59c18056a1b68.jpg
Ultimate Fallout (2011) #2,2011,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/5a8edda615e76.jpg
Thor: Heaven & Earth (2011) #1,2011,http://i.annihil.us/u/prod/marvel/i/mg/5/30/59f9d945857e6.jpg
The Mighty Thor (2011) #2 (2nd Printing Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/3/70/4e174207ec943.jpg
Fear Itself (2010) #4 (Dodson Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
Cap and Thor! Avengers (2010) #1,2011,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/535140bee3470.jpg
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2011) #15",2011,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4d9f24930100a.jpg
Fear Itself (2010) #4 (Immonen Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/4e0df43934649.jpg
Astonishing Thor (2010) #5,2011,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/5b34f4a0eaa38.jpg
Fear Itself (2010) #4,2011,http://i.annihil.us/u/prod/marvel/i/mg/1/04/4f7af8b599bbc.jpg
The Mighty Thor (2011) #3,2011,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/59c14f9c4833b.jpg
The Mighty Thor (2011) #3 (I Am Captain America),2011,http://i.annihil.us/u/prod/marvel/i/mg/e/40/4dfa0b2ba025f.jpg
Fear Itself (2010) #2 (2nd Printing Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4dd56e1d5306b.jpg
The Mighty Thor (2011) #1 (2nd Printing Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4dd51c41f266b.jpg
Journey Into Mystery (2011) #624,2011,http://i.annihil.us/u/prod/marvel/i/mg/9/60/5a8451cc49c5b.jpg
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2011) #14",2011,http://i.annihil.us/u/prod/marvel/i/mg/b/90/4d88c2b320aab.jpg
The Mighty Thor (2011) #2 (X-Men Art Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/1/40/4dd6798522745.jpg
The Mighty Thor (2011) #2,2011,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/59c14e3fe5564.jpg
Avengers (2010) #13 (X-Men Art Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4db191b0590aa.jpg
Avengers (2010) #13,2011,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/5a26dc6135fb2.jpg
Fear Itself (2010) #1 (2nd Printing Variant),2011,http://i.annihil.us/u/prod/marvel/i/mg/c/30/4db03818eae8a.jpg
Thor the Mighty Avenger (2010) #7,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/60/5835bb940bf6a.jpg
Thor (2007) #618,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/20/56f2ce21be462.jpg
Iron Man/Thor (2010) #2,2010,http://i.annihil.us/u/prod/marvel/i/mg/3/30/5176b2306c4c8.jpg
"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2010) #8",2010,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4c91220c496ca.jpg
